matrix,partitioning,mpi_procs,omp_threads,nnz,max_mem_mb,p90_ms,avg_ms,min_ms,max_ms,avg_comm_ms,avg_comp_ms,gflops
1138_bus,1D,8,1,4054,0.0066,0.128189,0.108497,0.081751,0.174446,0.000056,0.014439,0.0747
1138_bus,2D,8,1,4054,0.0133,0.433739,0.326769,0.242942,0.474041,0.253927,0.032542,0.0248
